"Organic compounds"	"Alkaloids and derivatives"	"Benzenoids"	"Lignans, neolignans and related compounds"	"Lipids and lipid-like molecules"	"Nucleosides, nucleotides, and analogues"	"Organic 1,3-dipolar compounds"	"Organic acids and derivatives"	"Organic nitrogen compounds"	"Organic oxygen compounds"	"Organohalogen compounds"	"Organoheterocyclic compounds"	"Organosulfur compounds"	"Phenylpropanoids and polyketides"
"neg_DANCE_RDvsIR_2021_PG_Cenmel_Rd6_GB8_1_12044"	955	5	131	17	104	19	2	367	11	105	2	100	1	91
"neg_DANCE_RDvsIR_2021_PG_Censet_Int1_GA2_1_12027"	567	2	81	13	47	14	1	207	5	81	3	45	1	67
"neg_DANCE_RDvsIR_2021_PG_Censet_Int2_GA6_1_12031"	482	2	72	11	39	15	2	182	5	69	2	35	0	48
"neg_DANCE_RDvsIR_2021_PG_Censet_Int3_RA1_1_11922"	483	2	71	9	37	12	1	182	5	66	2	38	1	57
"neg_DANCE_RDvsIR_2021_PG_Censet_Int4_GB2_1_12035"	478	2	71	6	43	11	1	188	3	65	3	35	1	49
"neg_DANCE_RDvsIR_2021_PG_Censet_Rd1_BA3_1_11976"	552	2	82	15	48	13	1	202	5	81	3	41	2	57
"neg_DANCE_RDvsIR_2021_PG_Censet_Rd2_RA2_1_11923"	508	2	69	14	43	10	2	196	4	75	2	38	1	52
"neg_DANCE_RDvsIR_2021_PG_Censet_Rd3_BD2_1_12005"	449	2	68	9	36	11	1	174	4	65	3	33	1	42
"neg_DANCE_RDvsIR_2021_PG_Censet_Rd4_GC1_1_12045"	412	1	63	6	34	12	1	158	4	57	2	30	0	44
"neg_DANCE_RDvsIR_2021_PG_Censet_Rd5_BA2_1_11975"	428	1	57	9	39	11	1	160	5	61	3	29	1	51
"neg_DANCE_RDvsIR_2021_PG_Esccal_Int1_RD1_1_11952"	522	4	82	13	36	10	4	183	6	59	1	59	1	64
"neg_DANCE_RDvsIR_2021_PG_Esccal_Int2_GB4_1_12040"	545	2	86	14	45	10	4	197	5	65	1	57	1	58
"neg_DANCE_RDvsIR_2021_PG_Esccal_Int3_GA7_1_12032"	571	4	94	15	43	10	4	206	5	68	1	55	1	65
"neg_DANCE_RDvsIR_2021_PG_Esccal_Int4_RC7_1_11950"	567	5	79	13	43	11	2	204	6	70	1	59	2	72
"neg_DANCE_RDvsIR_2021_PG_Esccal_Int5_RE8_1_11970"	474	2	72	15	40	8	4	169	4	54	1	51	1	53
"neg_DANCE_RDvsIR_2021_PG_Esccal_Rd1_RA6_1_11927"	478	2	75	14	40	9	3	172	4	55	1	46	2	55
"neg_DANCE_RDvsIR_2021_PG_Esccal_Rd2_BC6_1_12001"	570	4	85	14	42	8	3	213	5	64	1	64	2	65
"neg_DANCE_RDvsIR_2021_PG_Esccal_Rd3_GD8_1_12066"	652	5	104	15	50	13	4	237	5	81	1	68	1	68
"neg_DANCE_RDvsIR_2021_PG_Esccal_Rd4_BA1_1_11974"	579	4	89	15	44	11	3	212	4	71	1	60	1	64
"neg_DANCE_RDvsIR_2021_PG_Esccal_Rd5_GC5_1_12052"	580	4	96	15	48	12	3	197	6	64	1	63	1	70
"neg_DANCE_RDvsIR_2021_PG_Esccal_Rd6_RA3_1_11924"	518	4	83	13	41	10	4	179	5	58	1	58	1	61
"neg_DANCE_RDvsIR_2021_PG_Esccal_Rd7_GD3_1_12058"	626	4	88	14	47	13	2	231	6	76	1	65	1	78
"neg_DANCE_RDvsIR_2021_PG_Esccal_Rd8_GB5_1_12041"	548	2	88	13	38	12	3	193	7	67	1	59	1	64
"neg_DANCE_RDvsIR_2021_PG_Hedrha_Int1_BE3_1_12017"	532	1	78	11	49	15	1	191	5	87	0	45	2	47
"neg_DANCE_RDvsIR_2021_PG_Hedrha_Int2_RC5_1_11948"	614	3	90	11	53	13	1	229	7	86	1	57	2	61
"neg_DANCE_RDvsIR_2021_PG_Hedrha_Rd1_BE7_1_12021"	542	2	75	17	48	14	1	201	5	72	1	54	1	51
"neg_DANCE_RDvsIR_2021_PG_Hedrha_Rd2_GC6_1_12053"	748	2	95	17	59	13	1	287	10	113	0	61	2	88
"neg_DANCE_RDvsIR_2021_PG_Hedrha_Rd3_BE2_1_12016"	731	2	98	14	69	12	1	283	6	112	1	53	2	78
"neg_DANCE_RDvsIR_2021_PG_Hedrha_Rd4_BA4_1_11977"	689	1	93	16	59	15	2	263	7	100	1	52	2	78
"neg_DANCE_RDvsIR_2021_PG_Hedrha_Rd5_BE8_1_12022"	705	1	96	20	64	15	2	260	6	105	0	66	2	68
"neg_DANCE_RDvsIR_2021_PG_Hyphir_Int2_BE4_1_12018"	664	1	98	11	50	16	2	242	10	79	3	55	1	96
"neg_DANCE_RDvsIR_2021_PG_Hyphir_Int3_GD4_1_12059"	667	1	96	9	46	18	2	237	7	81	3	62	1	104
"neg_DANCE_RDvsIR_2021_PG_Hyphir_Int4_RC8_1_11951"	611	1	93	8	46	17	1	212	9	73	3	53	2	93
"neg_DANCE_RDvsIR_2021_PG_Hyphir_Int5_BC7_1_12002"	577	2	83	11	39	13	1	207	8	71	3	48	1	90
"neg_DANCE_RDvsIR_2021_PG_Hyphir_Rd1_RA8_1_11929"	560	1	83	10	41	15	1	202	7	68	3	45	1	83
"neg_DANCE_RDvsIR_2021_PG_Hyphir_Rd2_RB7_1_11939"	573	1	82	10	34	12	1	217	8	72	3	46	2	85
"neg_DANCE_RDvsIR_2021_PG_Hyphir_Rd3_RE6_1_11968"	610	2	91	8	47	14	1	219	7	72	3	54	2	90
"neg_DANCE_RDvsIR_2021_PG_Hyphir_Rd4_BE6_1_12020"	666	1	100	12	45	21	2	227	8	82	4	72	2	90
"neg_DANCE_RDvsIR_2021_PG_Hyphir_Rd5_GC7_1_12054"	625	1	90	11	38	18	1	213	8	81	1	59	1	103
"neg_DANCE_RDvsIR_2021_PG_Klener_Int1_RB3_1_11935"	565	2	84	7	56	11	3	219	7	63	1	56	2	54
"neg_DANCE_RDvsIR_2021_PG_Klener_Int2_BC8_1_12003"	502	2	78	7	53	6	1	207	8	52	1	47	1	39
"neg_DANCE_RDvsIR_2021_PG_Klener_Int3_BA8_1_11981"	519	3	86	7	51	9	0	203	7	58	1	52	2	40
"neg_DANCE_RDvsIR_2021_PG_Klener_Int4_BB6_1_11990"	118	0	20	1	13	2	1	54	0	13	0	8	1	5
"neg_DANCE_RDvsIR_2021_PG_Klener_Int5_RE1_1_11963"	552	2	88	8	53	11	0	219	8	58	1	54	1	49
"neg_DANCE_RDvsIR_2021_PG_Klener_Rd1_BD4_1_12007"	486	1	80	4	43	5	1	205	7	61	1	39	3	36
"neg_DANCE_RDvsIR_2021_PG_Klener_Rd2_BA6_1_11979"	505	2	77	5	49	12	1	205	6	52	1	49	3	43
"neg_DANCE_RDvsIR_2021_PG_Klener_Rd3_BB4_1_11988"	559	3	83	7	50	13	1	229	11	58	1	56	2	45
"neg_DANCE_RDvsIR_2021_PG_Klener_Rd4_GD6_1_12061"	531	3	78	5	53	8	1	210	10	62	1	53	2	45
"neg_DANCE_RDvsIR_2021_PG_Klener_Rd5_RD8_1_11962"	499	3	77	4	44	9	0	204	8	54	1	52	1	42
"neg_DANCE_RDvsIR_2021_SJ_Cenmel_Int1_GD7_1_12065"	1015	8	127	23	104	21	2	400	10	117	1	104	1	97
"neg_DANCE_RDvsIR_2021_SJ_Cenmel_Rd1_GB3_1_12039"	958	3	126	21	102	22	2	358	11	113	1	98	1	100
"neg_DANCE_RDvsIR_2021_SJ_Cenmel_Rd3_RB5_1_11937"	934	5	123	18	94	14	3	371	9	107	1	93	1	95
"neg_DANCE_RDvsIR_2021_SJ_Cenmel_Rd4_RA4_1_11925"	912	4	128	19	90	15	2	340	10	105	1	96	1	101
"neg_DANCE_RDvsIR_2021_SJ_Censet_Int1_RE2_1_11964"	525	2	81	14	46	13	3	185	6	73	1	41	2	58
"neg_DANCE_RDvsIR_2021_SJ_Censet_Rd1_GE3_1_12069"	468	2	72	10	39	11	1	186	3	68	2	34	1	39
"neg_DANCE_RDvsIR_2021_SJ_Hedrha_Rd1_RC1_1_11941"	701	2	103	10	58	13	1	255	5	99	1	64	1	89
"neg_DANCE_RDvsIR_2021_SJ_Hedrha_Rd2_RB1_1_11930"	693	1	98	13	55	15	1	267	9	88	1	69	2	74
"neg_DANCE_RDvsIR_2021_SJ_Hedrha_Rd3_BC5_1_12000"	771	2	117	14	65	17	2	284	8	106	1	67	1	87
"neg_DANCE_RDvsIR_2021_SJ_Hedrha_Rd4_RE3_1_11965"	707	2	89	14	61	11	2	275	5	94	0	71	2	81
"neg_DANCE_RDvsIR_2021_SJ_Hyphir_Int1_RD7_1_11961"	602	1	90	11	47	17	1	210	7	76	3	54	2	83
"neg_DANCE_RDvsIR_2021_SJ_Hyphir_Rd1_BD5_1_12008"	651	2	103	12	54	14	1	225	8	85	4	57	2	84
"neg_DANCE_RDvsIR_2021_SJ_Hyphir_Rd2_GD1_1_12056"	675	2	103	15	54	19	2	228	7	82	3	64	2	94
"neg_DANCE_RDvsIR_2021_SJ_Hyphir_Rd3_RC2_1_11942"	653	1	93	8	54	18	1	240	9	75	3	58	2	91
"neg_DANCE_RDvsIR_2021_SJ_Hyphir_Rd4_GB6_1_12042"	675	1	95	15	53	20	2	233	9	89	3	57	2	96
"neg_DANCE_RDvsIR_2021_SJ_Hyphir_Rd5_BC1_1_11993"	651	1	95	11	43	19	1	236	9	81	4	56	1	94
"neg_DANCE_RDvsIR_2021_SJ_Klener_Int1_BA5_1_11978"	501	1	75	6	46	8	1	206	6	56	1	46	4	45
"neg_DANCE_RDvsIR_2021_SJ_Klener_Int2_GC8_1_12055"	578	4	84	4	57	9	2	240	6	64	1	55	3	49
"neg_DANCE_RDvsIR_2021_SJ_Klener_Int3_BD3_1_12006"	590	2	83	6	62	11	1	239	9	69	1	51	3	53
"neg_DANCE_RDvsIR_2021_SJ_Klener_Int4_GB7_1_12043"	603	3	89	8	61	11	0	245	9	58	1	59	2	57
"neg_DANCE_RDvsIR_2021_SJ_Klener_Int5_GA1_1_12026"	672	3	93	9	64	13	1	254	11	82	1	65	1	75
"neg_DANCE_RDvsIR_2021_SJ_Klener_Rd1_RB8_1_11940"	554	3	83	9	48	10	4	223	9	60	1	50	4	50
"neg_DANCE_RDvsIR_2021_SJ_Klener_Rd2_RD5_1_11956"	545	1	79	6	55	8	3	228	9	56	1	51	3	45
"neg_DANCE_RDvsIR_2021_SJ_Klener_Rd3_BB8_1_11992"	584	3	83	7	54	7	2	235	11	68	1	55	2	56
"neg_DANCE_RDvsIR_2021_SJ_Klener_Rd4_BB7_1_11991"	545	2	79	8	51	9	2	226	10	63	1	52	1	41
"neg_DANCE_RDvsIR_2021_SJ_Klener_Rd5_RA5_1_11926"	474	3	76	4	48	10	1	182	7	55	1	40	2	45
