"samples"	"species"	"color"	"id_samples"	"id_species"	"latitude"	"longitude"	"voucher_specimen"
"33"	"R.huebeneriana.GOT.3.autoMSMS"	"R.huebeneriana"	"tomato4"	"R.huebeneriana.GOT"	"Riccia huebeneriana"	"56.361714341"	"13.850084042"	"JE4010745"
"34"	"A.gracilis.SWE.1.autoMSMS"	"A.gracilis"	"orchid3"	"A.gracilis.SWE"	"Asterella gracilis"	"58.030607002"	"16.455699317"	"JE4010742"
"35"	"A.gracilis.SWE.2.autoMSMS"	"A.gracilis"	"orchid3"	"A.gracilis.SWE"	"Asterella gracilis"	"58.030607002"	"16.455699317"	"JE4010742"
"36"	"A.gracilis.SWE.3.autoMSMS"	"A.gracilis"	"orchid3"	"A.gracilis.SWE"	"Asterella gracilis"	"58.030607002"	"16.455699317"	"JE4010742"
"37"	"R.gothica.GOT.1.autoMSMS"	"R.gothica"	"steelblue3"	"R.gothica.GOT"	"Riccia gothica"	"57.820616523"	"16.571632151"	"JE4010746"
"38"	"R.gothica.GOT.2.autoMSMS"	"R.gothica"	"steelblue3"	"R.gothica.GOT"	"Riccia gothica"	"57.820616523"	"16.571632151"	"JE4010746"
"39"	"R.gothica.GOT.3.autoMSMS"	"R.gothica"	"steelblue3"	"R.gothica.GOT"	"Riccia gothica"	"57.820616523"	"16.571632151"	"JE4010746"
"40"	"M.fragrans.GOT.1.autoMSMS"	"M.fragrans"	"magenta3"	"M.fragrans.GOT"	"Mannia fragrans"	"57.81875188"	"18.573477554"	"JE4010739"
"41"	"M.fragrans.GOT.2.autoMSMS"	"M.fragrans"	"magenta3"	"M.fragrans.GOT"	"Mannia fragrans"	"57.81875188"	"18.573477554"	"JE4010739"
"42"	"M.fragrans.GOT.3.autoMSMS"	"M.fragrans"	"magenta3"	"M.fragrans.GOT"	"Mannia fragrans"	"57.81875188"	"18.573477554"	"JE4010739"
"43"	"R.hemisphaerica.GOT.1.autoMSMS"	"R.hemisphaerica"	"mediumpurple3"	"R.hemisphaerica.GOT"	"Reboulia hemisphaerica subsp. hemisphaerica"	"57.81875188"	"18.573477554"	"JE4010740"
"44"	"R.hemisphaerica.GOT.2.autoMSMS"	"R.hemisphaerica"	"mediumpurple3"	"R.hemisphaerica.GOT"	"Reboulia hemisphaerica subsp. hemisphaerica"	"57.81875188"	"18.573477554"	"JE4010740"
"45"	"R.hemisphaerica.GOT.3.autoMSMS"	"R.hemisphaerica"	"mediumpurple3"	"R.hemisphaerica.GOT"	"Reboulia hemisphaerica subsp. hemisphaerica"	"57.81875188"	"18.573477554"	"JE4010740"
"46"	"A.hyalina.GOT.1.autoMSMS"	"A.hyalina"	"violetred"	"A.hyalina.GOT"	"Athalamia hyalina var. suecica"	"57.81875188"	"18.573477554"	"JE4010741"
"47"	"A.hyalina.GOT.2.autoMSMS"	"A.hyalina"	"violetred"	"A.hyalina.GOT"	"Athalamia hyalina var. suecica"	"57.81875188"	"18.573477554"	"JE4010741"
"48"	"A.hyalina.GOT.3.autoMSMS"	"A.hyalina"	"violetred"	"A.hyalina.GOT"	"Athalamia hyalina var. suecica"	"57.81875188"	"18.573477554"	"JE4010741"
