"Organic compounds"	"Alkaloids and derivatives"	"Benzenoids"	"Lipids and lipid-like molecules"	"Nucleosides, nucleotides, and analogues"	"Organic 1,3-dipolar compounds"	"Organic acids and derivatives"	"Organic nitrogen compounds"	"Organic oxygen compounds"	"Organohalogen compounds"	"Organoheterocyclic compounds"	"Organosulfur compounds"	"Phenylpropanoids and polyketides"	"Yohimbine alkaloids"	"Benzene and substituted derivatives"	"Naphthalenes"	"Phenol ethers"	"Phenols"	"Thiophenol ethers"	"Fatty Acyls"	"Glycerolipids"	"Glycerophospholipids"	"Prenol lipids"	"Sphingolipids"	"Steroids and steroid derivatives"	"5-5-dinucleotides"	"5-deoxyribonucleosides"	"Flavin nucleotides"	"Purine nucleosides"	"Purine nucleotides"	"Pyrimidine nucleosides"	"Pyrimidine nucleotides"	"Allyl-type 1,3-dipolar organic compounds"	"Boronic acid derivatives"	"Carboxylic acids and derivatives"	"Hydroxy acids and derivatives"	"Keto acids and derivatives"	"Organic dithiophosphoric acids and derivatives"	"Organic phosphoric acids and derivatives"	"Organic sulfonic acids and derivatives"	"Organic sulfuric acids and derivatives"	"Peptidomimetics"	"Organonitrogen compounds"	"Organooxygen compounds"	"Alkyl halides"	"Aryl halides"	"Halohydrins"	"Azacyclic compounds"	"Azoles"	"Azolines"	"Benzopyrans"	"Diazanaphthalenes"	"Diazines"	"Dihydrofurans"	"Furans"	"Heteroaromatic compounds"	"Imidazopyrimidines"	"Indoles and derivatives"	"Isoindoles and derivatives"	"Lactams"	"Lactones"	"Naphthopyrans"	"Pteridines and derivatives"	"Pyrans"	"Pyridines and derivatives"	"Quinolines and derivatives"	"Tetrapyrroles and derivatives"	"Thiazines"	"Thiophenes"	"Triazines"	"Organic disulfides"	"Sulfonyls"	"Thioethers"	"Thiols"	"Cinnamic acids and derivatives"	"Coumarins and derivatives"	"Flavonoids"	"Isoflavonoids"	"Macrolides and analogues"	"Stilbenes"	"Tetracyclines"	"Hydrocarbons"	"Organophosphorus compounds"	"Lupin alkaloids"	"Saturated hydrocarbons"	"Unsaturated hydrocarbons"	"Propargyl-type 1,3-dipolar organic compounds"	"Borinic acid derivatives"	"Organic carbonic acids and derivatives"	"Organic phosphonic acids and derivatives"	"Organic thiosulfuric acids and derivatives"	"Orthocarboxylic acid derivatives"	"Vinylogous amides"	"Benzodioxoles"	"Biotin and derivatives"	"Dioxaborolanes"	"Dithioles"	"Imidolactams"	"Oxacyclic compounds"	"Oxanes"	"Oxazinanes"	"Piperidines"	"Pyrroles"	"Pyrrolidines"	"Quinolidines"	"Quinolizidines"	"Quinuclidines"	"Thiazepines"	"Triazinanes"	"Organic phosphines and derivatives"	"Organothiophosphorus compounds"	"Isothiocyanates"	"Sulfenyl compounds"	"Sulfoxides"	"Macrolactams"	"Lignans, neolignans and related compounds"	"Ergoline and derivatives"	"Harmala alkaloids"	"Anthracenes"	"Aryltetralin lignans"	"Furanoid lignans"	"Lignan glycosides"	"Lignan lactones"	"Saccharolipids"	"Imidazole ribonucleosides and ribonucleotides"	"Organic oxoanionic compounds"	"Azobenzenes"	"Benzimidazoles"	"Benzodiazepines"	"Benzodioxanes"	"Diazinanes"	"Isoquinolines and derivatives"	"Tetrahydrofurans"	"Thienodiazepines"	"2-arylbenzofuran flavonoids"	"Angucyclines"	"Diarylheptanoids"	"Linear 1,3-diarylpropanoids"	"Saxitoxins, gonyautoxins, and derivatives"	"Tannins"
"R.subbifurca.OE2.2"	894	4	54	115	18	9	429	37	56	10	116	7	31	1	33	1	5	3	0	38	2	6	22	0	36	1	1	1	2	8	1	3	7	5	403	2	2	1	3	1	2	8	37	56	2	7	1	7	15	1	3	3	12	0	2	9	6	10	0	2	2	0	2	2	4	3	4	2	1	11	2	2	2	1	0	3	20	2	2	0	1	4	2	0	0	3	2	0	0	0	1	0	1	0	0	0	0	1	1	1	0	5	0	1	0	0	1	1	1	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	2
"R.subbifurca.OE2.3"	1071	3	72	163	25	9	514	40	63	17	106	9	41	1	48	1	7	5	0	48	4	7	32	3	57	2	1	1	3	11	2	4	8	5	479	3	2	0	3	2	2	16	40	63	5	11	1	5	15	1	3	3	9	1	2	9	8	9	0	2	1	0	2	2	4	1	3	2	0	10	2	2	3	2	2	3	27	3	2	1	0	5	3	0	0	4	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	5	0	2	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2
"R.ciliifera.HAL.1"	899	4	63	139	9	4	472	33	57	11	70	5	24	0	34	1	12	3	1	37	3	8	32	4	43	0	0	0	1	3	3	2	3	4	437	4	2	0	1	1	2	18	33	56	4	7	0	3	13	0	1	2	4	3	1	7	3	8	0	0	1	1	3	1	4	1	2	1	1	6	2	0	2	1	5	3	11	0	2	0	0	3	3	0	0	3	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	2	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0
"R.ciliifera.HAL.2"	1058	4	76	161	10	5	547	37	63	12	101	7	28	0	46	1	11	5	2	47	5	9	32	3	51	0	1	0	1	3	3	1	4	4	507	4	2	0	1	1	2	24	37	63	3	9	0	5	14	1	2	2	7	3	1	7	6	7	1	2	2	1	5	1	6	2	3	2	1	12	2	0	3	2	4	3	16	0	2	0	1	4	2	0	0	3	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0
"R.ciliifera.HAL.3"	991	5	74	148	8	6	508	36	65	11	92	5	28	0	45	1	10	3	2	45	5	9	30	4	44	0	1	0	1	2	3	1	5	3	478	3	1	1	1	1	3	16	36	65	3	8	0	4	10	1	2	2	8	3	1	10	6	5	1	1	1	1	5	1	4	2	3	2	1	9	1	0	3	1	4	4	15	0	2	0	0	3	2	0	0	3	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	1	0	0	1	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	2	1	0	0
"R.gougetiana.HAL.1"	1201	2	98	177	19	4	598	44	79	11	104	9	49	0	57	3	16	9	1	49	6	8	44	4	55	0	1	0	6	8	3	1	4	5	550	6	1	3	1	0	3	28	44	79	5	6	0	5	16	1	2	3	9	1	1	9	6	6	0	2	2	2	5	1	6	2	5	1	2	8	2	1	5	1	10	5	24	1	2	0	2	3	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	1	1	0	1	0	0	0	0	2	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	3	1	0	0
"R.gougetiana.HAL.2"	1243	4	104	172	13	6	635	45	78	10	114	9	46	0	62	3	16	7	1	53	5	8	40	3	51	0	1	0	3	6	2	1	5	5	586	5	2	2	1	0	4	29	45	78	4	6	0	5	14	1	2	3	9	1	1	10	8	8	1	2	2	1	8	1	5	3	6	2	3	10	1	1	5	2	10	4	24	0	2	0	2	3	2	0	0	3	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	1	1	0	0	0	0	0	2	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	0
"R.gougetiana.HAL.3"	1117	1	101	156	13	5	568	43	65	10	95	9	45	0	58	3	16	7	2	37	4	8	40	2	54	0	1	0	3	6	2	1	4	5	526	6	1	2	1	0	3	22	43	65	3	7	0	4	15	1	2	3	8	1	1	6	4	6	0	2	2	2	4	1	6	2	5	1	2	8	1	1	5	2	10	4	23	1	2	0	2	3	2	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	1	1	0	1	0	0	0	0	1	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	2	1	0	0
"R.huebeneriana.GOT.1"	603	2	57	84	14	4	259	27	52	11	52	5	32	0	38	0	4	3	0	20	1	4	14	1	34	2	0	0	2	7	1	2	4	3	245	3	2	0	0	0	2	3	27	51	3	5	3	3	8	0	6	1	6	1	0	5	2	5	0	0	1	0	2	1	3	0	1	1	1	2	1	0	1	3	4	2	14	6	3	0	0	2	2	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2
"R.huebeneriana.GOT.2"	515	2	48	74	10	3	218	22	42	10	47	6	29	0	30	0	4	3	0	22	1	3	12	0	29	2	0	0	2	3	1	2	3	3	206	2	2	0	0	0	1	3	22	41	3	4	3	3	8	0	5	1	6	1	0	5	1	3	0	1	1	0	2	1	3	0	1	1	1	1	2	1	2	1	4	2	14	5	2	0	0	2	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
"R.huebeneriana.GOT.3"	511	2	54	78	9	3	219	22	39	11	42	4	25	0	35	0	4	3	0	19	1	4	14	1	31	2	0	0	1	3	1	2	3	2	207	2	1	0	1	0	2	3	22	38	3	5	3	3	5	0	5	1	4	1	0	4	1	3	0	1	1	0	2	1	3	0	1	1	1	1	1	0	2	1	4	2	12	3	2	0	0	1	2	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
"A.gracilis.SWE.1"	621	3	56	87	19	7	273	26	36	8	61	9	33	1	45	1	4	3	1	33	4	2	17	1	24	0	0	0	2	10	1	5	3	1	246	2	1	1	1	2	4	12	26	35	2	6	0	1	13	0	1	2	8	0	0	10	3	4	0	2	0	0	2	1	2	0	2	0	1	1	1	1	4	1	1	2	23	0	2	2	0	1	0	2	1	0	4	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	1	2	0	0	1	0	0	1	0	1	1	1	0	1	0	0	1	0	1	0	0	0	1	1	0	0
"A.gracilis.SWE.2"	689	3	67	93	19	6	300	37	50	8	57	11	34	1	51	2	5	6	1	33	5	1	20	1	27	1	0	0	3	11	1	3	3	2	275	2	2	0	1	2	2	10	37	49	3	5	0	2	14	0	0	2	4	0	1	7	3	4	0	2	0	0	4	1	1	0	2	0	1	1	1	1	6	2	1	4	21	0	1	2	0	1	0	2	1	0	3	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	3	0	0	1	0	0	2	0	1	0	1	0	1	0	0	1	0	1	0	1	1	1	1	0	0
"A.gracilis.SWE.3"	418	2	30	58	14	5	182	25	23	6	42	6	24	0	25	0	3	1	0	22	2	2	8	2	17	0	0	0	1	9	0	4	1	0	164	2	1	0	2	0	2	7	25	22	2	4	0	2	11	0	1	2	3	0	0	6	1	4	0	1	0	0	1	1	1	0	1	0	2	1	1	1	4	0	1	2	15	0	2	1	0	1	0	2	1	0	4	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	1	0	0
"R.gothica.GOT.1"	1152	2	94	164	16	8	596	36	58	13	115	7	34	0	63	1	11	6	1	51	3	5	34	4	55	1	0	1	2	7	2	2	6	5	561	4	2	2	1	1	2	16	36	58	2	9	2	6	11	1	2	3	9	1	2	13	9	8	1	3	4	0	2	1	5	2	4	1	1	15	1	0	4	1	4	3	18	2	2	1	0	5	2	0	0	4	2	0	0	0	1	0	1	0	0	0	0	1	2	0	0	2	0	1	0	0	1	1	1	1	0	1	0	0	0	2	0	0	0	0	0	2	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	1
"R.gothica.GOT.2"	1010	1	78	161	13	6	512	35	52	14	97	6	28	0	49	2	10	5	1	44	4	7	32	3	59	1	0	1	2	6	1	1	5	4	476	4	2	1	1	1	2	19	35	52	2	10	2	5	10	1	2	4	5	1	0	13	7	4	1	3	1	1	3	1	3	1	4	2	3	11	1	0	2	3	3	3	18	0	1	1	0	3	2	0	0	2	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	2	0	2	0	0	1	1	1	0	1	0	0	0	0	2	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0
"R.gothica.GOT.3"	1049	1	79	169	13	6	538	35	54	12	99	6	28	0	52	1	11	4	1	47	4	7	34	5	60	1	0	1	2	4	1	3	5	4	504	3	1	2	1	1	3	17	35	54	3	8	1	6	12	1	2	3	5	0	1	12	7	5	1	3	2	1	3	1	4	1	4	1	3	11	1	1	2	2	4	3	17	0	1	1	0	5	2	0	0	4	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	2	0	2	0	0	1	1	1	0	1	0	0	0	0	2	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0
"M.fragrans.GOT.1"	422	0	38	56	6	3	173	23	43	8	39	6	24	0	26	1	5	3	0	18	3	2	18	1	10	1	0	0	1	2	1	1	2	1	152	2	2	1	1	1	6	5	23	43	0	8	0	1	10	0	0	0	3	1	0	3	3	2	0	2	2	0	2	1	4	0	3	0	2	0	1	1	2	2	1	3	12	0	1	3	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0
"M.fragrans.GOT.2"	433	2	42	55	8	4	187	18	36	10	37	7	23	1	32	1	4	3	0	18	2	2	17	1	11	1	0	1	2	2	1	1	3	1	165	3	2	0	1	0	4	9	18	36	1	8	1	1	6	0	1	0	6	1	0	2	2	2	0	2	2	0	1	1	2	0	2	1	2	0	1	1	3	2	1	2	13	0	0	2	0	2	1	1	0	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0
"M.fragrans.GOT.3"	443	3	44	57	7	4	192	21	40	9	36	8	20	1	34	0	5	3	0	17	3	1	16	1	16	1	0	0	1	2	0	3	3	2	168	2	2	0	1	0	6	8	21	40	1	8	0	1	5	0	0	0	5	0	0	3	2	2	0	1	2	0	2	1	3	0	2	0	2	1	1	1	5	1	1	2	10	0	0	2	0	0	1	1	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0
"R.hemisphaerica.GOT.1"	630	3	54	93	12	7	255	34	42	9	64	10	44	1	41	1	6	4	0	35	5	3	21	1	21	0	0	0	3	4	1	4	4	3	224	3	1	1	1	1	5	9	34	42	1	8	0	5	9	0	1	0	10	0	0	5	4	3	0	3	0	0	1	1	3	0	3	0	1	6	1	1	3	1	2	2	32	1	1	1	0	1	1	1	1	0	3	1	1	3	1	1	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	4	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	2	1	0	0
"R.hemisphaerica.GOT.2"	683	3	58	93	13	6	286	41	45	9	68	11	45	1	43	2	5	6	0	29	6	3	24	1	25	0	0	0	3	5	1	4	3	3	250	3	2	1	2	3	7	9	41	45	1	8	0	4	9	0	0	2	10	0	0	6	3	4	0	4	1	0	1	1	3	0	3	0	3	7	1	1	3	2	1	2	32	1	2	1	0	2	0	1	1	0	3	1	1	3	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	4	0	1	3	0	0	0	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	1	1	2	1	0	0
"R.hemisphaerica.GOT.3"	700	3	55	105	14	7	288	37	42	8	73	13	50	1	42	1	6	5	0	39	5	4	23	1	27	0	0	0	4	5	1	4	3	3	253	3	2	1	1	2	7	10	37	42	0	8	0	4	11	0	1	3	12	0	1	7	2	3	0	4	0	0	1	1	3	0	3	0	2	6	1	1	6	0	3	2	35	1	1	1	0	2	0	1	1	0	4	1	1	3	0	1	0	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	5	0	1	3	0	0	0	0	0	2	1	1	0	0	0	0	0	0	2	0	0	0	1	1	2	1	0	1
"A.hyalina.GOT.1"	538	5	49	83	14	3	236	20	44	7	37	8	29	1	37	2	4	2	2	27	4	2	20	3	22	1	0	0	3	6	1	3	2	1	210	2	2	1	1	0	3	13	20	43	1	6	0	3	5	1	0	1	7	0	0	1	0	2	1	3	0	0	1	1	1	0	2	0	3	1	1	2	3	1	1	2	20	0	1	1	0	0	0	2	0	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	3	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1
"A.hyalina.GOT.2"	526	3	50	85	14	4	224	27	38	7	35	10	26	1	37	2	3	3	1	29	4	4	18	4	20	1	0	0	4	6	1	2	3	1	198	2	1	1	1	1	5	12	27	37	1	6	0	2	5	1	0	2	4	0	0	2	1	2	0	3	1	0	1	1	1	0	1	0	3	1	1	1	5	2	1	2	18	0	1	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	3	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0
"A.hyalina.GOT.3"	483	3	47	76	12	3	206	23	40	6	34	8	22	1	35	2	3	3	1	27	4	2	17	4	17	1	0	0	3	5	0	3	2	1	181	3	1	1	1	0	5	11	23	39	1	5	0	1	8	1	0	1	5	0	0	2	0	2	0	2	0	0	0	1	1	0	3	0	3	1	1	1	4	1	1	2	15	0	1	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0
